ip,initial_sent,coalesced_sent,initial_sent_until_retry,pto_expired,coalesced_received,retry_received,initial_sent_after_retry,initial_received,handshake_received,handshake_sent,packet_dropped,total_sent,total_received,rtt,var,port
1.14.47.202,7,5,3,2.0,3,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,290.7763,105.18199999999999,784
1.15.174.179,7,7,3,3.0,5,1.0,4.0,1,6.0,5.0,1.0,12.0,7.0,254.68295,113.186375,784
1.15.51.215,7,5,3,2.0,3,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,235.1288,78.686,784
1.15.90.38,7,5,3,2.0,3,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,238.54435,85.493,784
101.132.134.206,7,6,3,2.0,4,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,222.8793,66.795,784
101.132.154.206,7,5,3,2.0,4,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,260.33555,88.048,784
101.132.174.135,7,8,3,2.0,5,1.0,4.0,1,5.0,3.0,2.0,10.0,6.0,228.33155,67.204,784
101.32.180.62,7,5,3,2.0,4,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,285.9231,96.28999999999999,784
101.32.27.185,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,196.79705,49.196,784
103.103.131.105,3,6,1,,7,1.0,2.0,1,5.0,3.0,,6.0,6.0,209.96035,54.434,8853
103.105.98.141,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,178.7088,45.245000000000005,784
103.108.94.83,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,2.0,10.0,6.0,320.63865,105.83500000000001,8853
103.124.95.99,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,207.4948,64.427,784
103.125.217.18,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,356.3196,121.44149999999999,784
103.127.124.46,7,7,3,2.0,4,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,264.3791,77.684,8853
103.127.29.198,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,163.371,36.251,8853
103.149.46.217,7,7,3,2.0,4,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,358.8649,121.18,784
103.150.187.108,3,6,1,1.0,3,1.0,2.0,1,4.0,5.0,,16.0,10.0,151.3812,43.248,8853
103.199.17.192,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,192.9518,47.7405,8853
103.226.139.242,3,5,1,,6,1.0,2.0,1,5.0,3.0,,6.0,6.0,204.7563,58.354,784
103.227.252.185,3,5,1,,4,1.0,2.0,1,6.0,3.0,,6.0,7.0,171.8152,46.35,784
103.232.207.2,3,5,1,,5,1.0,2.0,1,4.0,2.0,,5.0,5.0,153.75335,38.784,8853
103.232.207.3,3,3,1,,4,1.0,2.0,1,4.0,2.0,,5.0,5.0,154.8446,34.876,8853
103.248.248.213,7,8,3,2.0,4,1.0,4.0,1,6.0,3.0,3.0,10.0,7.0,273.0131,117.175,784
103.43.148.147,3,3,1,,4,1.0,2.0,1,3.0,1.0,,4.0,4.0,198.9653,59.256,784
103.57.251.20,3,6,1,,7,1.0,2.0,1,5.0,3.0,,6.0,6.0,127.2519,27.424,8853
103.61.37.108,7,6,3,2.0,5,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,334.2018,110.536,784
103.62.48.147,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,164.00234999999998,40.8785,8853
103.62.50.101,7,7,3,2.0,4,1.0,4.0,1,5.0,3.0,2.0,10.0,6.0,285.3644,96.33250000000001,8853
103.72.4.152,7,7,3,2.0,4,1.0,4.0,1,5.0,3.0,2.0,10.0,6.0,238.6472,83.753,784
103.74.192.79,7,5,3,2.0,4,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,264.0327,74.481,784
103.88.47.112,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,252.73205000000002,74.333,8853
104.194.84.128,3,4,1,,3,1.0,2.0,1,4.0,2.0,,5.0,5.0,170.77265,44.683,784
104.199.26.56,3,4,1,,5,1.0,2.0,1,5.0,2.0,,5.0,6.0,25.427149999999997,9.612,784
104.225.216.16,3,4,1,,3,1.0,2.0,1,4.0,2.0,,5.0,5.0,94.20779999999999,20.8535,784
104.238.181.28,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,170.59185,42.954,8853
104.243.28.49,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,165.7843,45.2725,784
104.244.209.134,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,116.1453,26.01,8853
104.244.72.39,3,4,1,,4,1.0,2.0,1,5.0,2.0,,5.0,6.0,17.41005,7.368399999999999,784
104.33.178.84,7,7,3,2.0,7,1.0,4.0,1,5.0,3.0,1.0,10.0,6.0,177.7673,66.793,784
104.36.148.181,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,174.06009999999998,44.046,8853
106.105.24.246,7,6,3,2.0,3,1.0,4.0,1,3.0,1.0,3.0,8.0,4.0,301.2206,104.1685,784
106.12.202.161,7,5,3,3.0,3,1.0,4.0,1,4.0,2.0,3.0,45.0,25.0,244.9648,84.685,784
106.14.77.175,7,7,3,2.0,4,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,268.2876,92.191,784
106.15.74.120,7,6,3,2.0,3,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,274.77840000000003,102.86349999999999,784
106.75.182.53,7,6,3,4.0,5,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,258.517,55.137,784
107.155.83.188,3,5,1,,5,1.0,2.0,1,6.0,3.0,,6.0,7.0,129.39684999999997,30.392,784
107.155.95.151,3,5,1,,6,1.0,2.0,1,4.0,2.0,,5.0,5.0,164.38725,42.455,784
107.172.219.129,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,169.78969999999998,44.524,784
107.173.125.26,3,3,1,,3,1.0,2.0,1,4.0,2.0,,5.0,5.0,139.7905,30.997,784
107.173.52.46,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,95.9159,22.4595,784
107.174.221.196,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,165.4555,42.8285,784
107.174.81.67,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,163.1175,35.773,784
109.235.67.52,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,38.2412,11.277000000000001,784
110.34.192.81,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,160.42225,34.981,784
114.32.120.125,7,7,3,2.0,4,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,218.6266,75.5925,784
114.32.171.219,7,7,3,2.0,4,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,226.8448,158.0795,784
114.33.28.133,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,225.7106,64.937,784
114.67.110.66,6,5,2,2.0,5,1.0,4.0,1,5.0,2.0,3.0,8.0,6.0,211.7418,72.2035,784
116.204.183.61,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,193.89999999999998,48.419,8853
116.62.230.170,7,7,3,2.0,6,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,280.81595,94.83500000000001,784
116.63.136.113,7,7,3,2.0,5,1.0,4.0,1,6.0,3.0,2.0,50.0,35.0,205.86149999999998,60.253,784
116.85.26.213,7,6,3,2.0,4,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,260.37555,86.64349999999999,784
118.163.130.167,7,7,3,2.0,6,1.0,4.0,1,5.0,3.0,2.0,10.0,6.0,224.4839,73.9695,784
118.163.170.2,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,220.2593,80.564,784
118.24.104.242,7,7,3,2.0,6,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,318.5497,106.9485,784
119.193.114.111,7,8,3,2.0,6,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,291.509,98.4305,784
119.224.127.171,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,296.16179999999997,118.17349999999999,8853
119.252.72.43,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,249.0324,70.563,8853
119.252.80.57,7,7,3,2.0,4,1.0,4.0,1,5.0,3.0,2.0,10.0,6.0,257.72429999999997,75.819,8853
119.252.86.27,7,7,3,2.0,4,1.0,4.0,1,5.0,3.0,2.0,10.0,6.0,213.1552,60.473,8853
119.252.93.133,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,345.44005,113.4295,8853
119.252.95.133,7,7,3,2.0,4,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,336.7121,114.0515,8853
119.28.110.67,7,6,3,2.0,4,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,269.8004,78.582,784
119.28.180.81,7,8,3,2.0,6,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,320.118,106.19550000000001,784
119.28.58.160,3,3,1,,4,1.0,2.0,1,4.0,2.0,,5.0,5.0,194.6389,56.238,784
119.28.59.205,7,7,3,2.0,6,1.0,4.0,1,5.0,3.0,2.0,10.0,6.0,213.2019,60.129,784
119.28.88.230,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,319.34185,105.7855,8853
120.55.44.44,7,5,3,2.0,3,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,314.6257,103.589,784
120.77.250.2,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,222.6664,80.5655,784
120.77.83.177,7,6,3,2.0,3,1.0,4.0,1,6.0,3.0,3.0,10.0,7.0,243.3279,214.791,784
121.133.94.94,6,4,3,2.0,2,1.0,3.0,1,,,,,,0.0,0.0,784
121.196.146.239,7,7,3,2.0,4,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,233.8,68.865,784
121.199.79.161,7,9,3,2.0,6,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,281.2994,94.61349999999999,784
121.36.56.68,7,8,3,3.0,2,1.0,4.0,1,1.0,5.0,2.0,,,131.3565,65.67825,784
121.4.78.184,7,9,3,3.0,7,1.0,4.0,1,7.0,6.0,2.0,13.0,8.0,218.06115,92.12299999999999,784
121.40.74.94,7,6,3,2.0,3,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,262.1418,75.65,784
121.40.98.11,7,7,3,2.0,4,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,270.0867,106.9585,784
121.5.226.183,7,5,3,2.0,4,1.0,4.0,1,4.0,2.0,1.0,9.0,5.0,264.1201,76.763,784
122.116.129.2,7,5,3,2.0,4,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,217.9722,63.222,784
122.116.200.91,7,7,3,2.0,4,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,225.2753,147.3465,784
122.117.222.121,7,6,3,2.0,4,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,319.54970000000003,116.733,784
123.195.161.145,7,7,3,2.0,6,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,275.0639,180.1745,784
124.156.136.216,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,196.5932,48.881,784
124.156.140.90,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,2.0,10.0,6.0,209.1517,58.969,784
124.156.184.179,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,196.47764999999998,49.4805,784
124.70.83.172,7,6,3,2.0,4,1.0,4.0,1,4.0,2.0,3.0,27.0,15.0,268.1752,76.711,784
124.71.162.21,9,6,5,3.0,3,1.0,4.0,1,4.0,2.0,1.0,11.0,5.0,255.81205,86.0765,784
128.199.171.81,7,6,3,2.0,4,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,266.5424,76.053,784
128.199.233.7,8,9,3,2.0,8,1.0,5.0,3,4.0,3.0,,22.0,10.0,286.0432,88.049,784
129.146.170.128,3,6,1,,6,1.0,2.0,1,5.0,3.0,,6.0,6.0,158.5172,34.814,784
129.159.207.123,3,4,1,,3,1.0,2.0,1,4.0,2.0,,5.0,5.0,19.689300000000003,7.268,784
